batter,batsman_runs
V Kohli,7987
S Dhawan,6769
RG Sharma,6630
DA Warner,6548
SK Raina,5536
MS Dhoni,5243
AB de Villiers,5114
CH Gayle,4986
RV Uthappa,4954
KD Karthik,4816
