bowler,player_dismissed
YS Chahal,209
DJ Bravo,207
PP Chawla,201
SP Narine,200
R Ashwin,198
B Kumar,195
SL Malinga,188
A Mishra,183
JJ Bumrah,182
RA Jadeja,168
